epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.147,1.59623,2.32369,1.73728,0.93909,0.93756,0.969,0.60303,1.18078,1.24063,1.24926,0.000549692,0.000549692,0.000549692
2,204.403,1.14787,0.86347,1.32163,0.97074,0.97297,0.99036,0.77154,0.86914,0.81065,1.05728,0.00108347,0.00108347,0.00108347
3,316.619,1.08799,0.72082,1.27377,0.95584,0.98353,0.99178,0.7803,0.90907,0.75399,1.06697,0.00159525,0.00159525,0.00159525
4,437.344,1.03825,0.65859,1.22427,0.98214,0.97903,0.99392,0.77572,0.91074,0.63962,1.06429,0.00156798,0.00156798,0.00156798
5,569.792,0.95504,0.5864,1.17418,0.98341,0.98611,0.99437,0.75998,1.00169,0.69411,1.17581,0.00153497,0.00153497,0.00153497
6,735.106,0.86915,0.53618,1.11566,0.98638,0.95946,0.98198,0.72896,1.10659,0.54138,1.12239,0.00150197,0.00150197,0.00150197
7,914.274,0.85661,0.49353,1.10361,0.96969,0.90992,0.96127,0.78099,0.83578,0.55225,0.99912,0.00146896,0.00146896,0.00146896
8,1109.38,0.83767,0.48888,1.09232,0.89724,0.95819,0.95986,0.3526,2.58806,1.3614,1.99473,0.00143595,0.00143595,0.00143595
9,1302.57,0.8219,0.47157,1.08309,0.46515,0.46622,0.4651,0.26253,1.67927,2.55125,1.55205,0.00140295,0.00140295,0.00140295
10,1513.2,0.77678,0.44917,1.05934,0,0,0,0,2.7473,3.55821,2.23408,0.00136994,0.00136994,0.00136994
11,1731.72,0.76692,0.44223,1.04549,0,0,0,0,2.74591,3.68424,2.32635,0.00133693,0.00133693,0.00133693
12,2011.84,0.74378,0.41183,1.029,0.25,0.00338,0.12709,0.01271,2.58006,4.56971,2.14214,0.00130393,0.00130393,0.00130393
13,2312.69,0.72356,0.41018,1.0143,0.98456,0.99324,0.99204,0.89131,0.58833,0.34417,0.91133,0.00127092,0.00127092,0.00127092
14,2598.13,0.70863,0.39624,1.01804,0.99871,1,0.995,0.88321,0.6052,0.32955,0.89844,0.00123791,0.00123791,0.00123791
15,2929.61,0.67914,0.3784,1.00131,0.99708,1,0.995,0.87176,0.61908,0.33237,0.90688,0.00120491,0.00120491,0.00120491
16,3292.78,0.65418,0.35949,0.9887,0.98809,0.98311,0.9881,0.82296,0.75629,0.36121,0.96328,0.0011719,0.0011719,0.0011719
17,3680.83,0.65491,0.36035,0.98428,0.98366,0.9527,0.97379,0.81617,0.80025,0.45003,0.98605,0.00113889,0.00113889,0.00113889
18,4140.14,0.65151,0.34729,0.98103,0.99902,1,0.995,0.87726,0.56686,0.28177,0.88474,0.00110589,0.00110589,0.00110589
19,4606.06,0.6379,0.34148,0.98044,0.39286,0.14865,0.27403,0.10849,2.21793,1.88236,1.84547,0.00107288,0.00107288,0.00107288
20,5001.8,0.63803,0.34221,0.96894,0.5,0.0473,0.27364,0.21884,1.83179,3.41887,1.73918,0.00103987,0.00103987,0.00103987
21,5455.74,0.61297,0.32292,0.96017,1,1,0.995,0.84303,0.71205,0.31753,0.93733,0.00100687,0.00100687,0.00100687
22,5901.39,0.62246,0.32296,0.97425,0.96552,0.84122,0.91474,0.74852,0.95591,0.56527,1.08587,0.000973861,0.000973861,0.000973861
23,6407,0.6006,0.31214,0.95432,0.97935,0.96284,0.97822,0.79097,0.98758,0.46998,1.08558,0.000940855,0.000940855,0.000940855
24,6900.27,0.6093,0.31442,0.95617,1,1,0.995,0.85187,0.7482,0.34145,0.96546,0.000907848,0.000907848,0.000907848
25,7389.34,0.6079,0.31501,0.9577,1,0.01014,0.50506,0.40405,1.46349,3.28163,1.41269,0.000874842,0.000874842,0.000874842
26,7929.59,0.57483,0.29922,0.93916,1,0.05068,0.52533,0.38574,1.61496,2.90923,1.46043,0.000841835,0.000841835,0.000841835
27,8558.88,0.57552,0.30514,0.94056,0.99664,1,0.995,0.89028,0.54731,0.25298,0.87861,0.000808828,0.000808828,0.000808828
28,9168.2,0.54952,0.28297,0.92894,1,0.85135,0.92564,0.78396,0.80633,0.57076,1.01332,0.000775822,0.000775822,0.000775822
29,9749.98,0.57391,0.28998,0.93536,1,1,0.995,0.89094,0.5476,0.24533,0.87847,0.000742815,0.000742815,0.000742815
30,10404.7,0.5651,0.28805,0.93493,1,1,0.995,0.87572,0.62579,0.2664,0.89926,0.000709809,0.000709809,0.000709809
31,11054.3,0.56105,0.28143,0.93795,0.99667,0.99835,0.995,0.83589,0.71275,0.29832,0.93273,0.000676802,0.000676802,0.000676802
32,11709.3,0.54021,0.27924,0.92769,1,0.94932,0.97213,0.82896,0.70363,0.37516,0.95326,0.000643795,0.000643795,0.000643795
33,12271.6,0.52499,0.26893,0.91919,0.99441,1,0.995,0.87928,0.58849,0.29248,0.90068,0.000610789,0.000610789,0.000610789
