epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.001,1.76248,2.69714,1.70572,0.96772,0.97805,0.99005,0.70152,1.1429,1.96637,1.20391,0.000544981,0.000544981,0.000544981
2,118.84,1.08683,0.87408,1.16474,0.76214,0.86771,0.95934,0.59104,1.3419,2.16878,1.54125,0.00107885,0.00107885,0.00107885
3,175.838,1.04016,0.73738,1.15104,0.96358,0.97419,0.99377,0.74752,0.89387,1.78648,1.01092,0.00159072,0.00159072,0.00159072
4,242.953,0.96532,0.60873,1.08807,0.97865,0.96855,0.99457,0.69666,1.08461,1.02087,1.1181,0.00156798,0.00156798,0.00156798
5,312.059,0.94007,0.55752,1.06969,0.97675,0.98365,0.99495,0.73472,1.05624,0.63322,1.10401,0.00153497,0.00153497,0.00153497
6,388.233,0.93408,0.52469,1.06765,0.96633,0.9686,0.99277,0.69476,1.08474,0.70897,1.1596,0.00150197,0.00150197,0.00150197
7,464.395,0.84638,0.48334,1.01745,0.99522,0.98889,0.99478,0.73143,1.05018,0.584,1.07651,0.00146896,0.00146896,0.00146896
8,542.268,0.77401,0.44101,0.98384,0.99404,0.98985,0.99469,0.76609,0.90868,0.52256,1.03486,0.00143595,0.00143595,0.00143595
9,638.089,0.72826,0.41832,0.96443,0.98521,0.99444,0.99395,0.81429,0.75341,0.49001,1.02223,0.00140295,0.00140295,0.00140295
10,741.31,0.7408,0.40844,0.96481,0.99826,1,0.995,0.7729,0.87171,0.46277,1.01981,0.00136994,0.00136994,0.00136994
11,841.526,0.72863,0.39973,0.9581,0.99732,1,0.995,0.7883,0.84902,0.432,1.0195,0.00133693,0.00133693,0.00133693
12,943.824,0.72391,0.38693,0.95973,0.99911,0.99444,0.9945,0.78501,0.8669,0.442,0.9948,0.00130393,0.00130393,0.00130393
13,1053.02,0.70813,0.37039,0.9494,0.99864,0.99518,0.995,0.80694,0.81683,0.41565,0.98854,0.00127092,0.00127092,0.00127092
14,1159.35,0.66625,0.36389,0.93593,0.99838,1,0.995,0.77124,0.89134,0.48611,1.04163,0.00123791,0.00123791,0.00123791
15,1269,0.65426,0.35912,0.9257,1,0.93889,0.96925,0.77181,0.92833,0.50155,1.02245,0.00120491,0.00120491,0.00120491
16,1383.09,0.62577,0.33837,0.90866,0.97714,0.95556,0.97671,0.79053,0.83885,0.44333,1.00064,0.0011719,0.0011719,0.0011719
17,1502.07,0.59675,0.32862,0.90284,1,0.99444,0.9945,0.8199,0.7699,0.38103,0.95142,0.00113889,0.00113889,0.00113889
18,1623.96,0.59637,0.33361,0.9021,1,1,0.995,0.78283,0.87931,0.40977,1.00747,0.00110589,0.00110589,0.00110589
19,1749.87,0.60267,0.32186,0.90473,0.99749,1,0.995,0.83405,0.73972,0.41251,0.97005,0.00107288,0.00107288,0.00107288
20,1879.5,0.5714,0.31892,0.8941,0.99841,0.99444,0.99489,0.83874,0.71199,0.37217,0.94339,0.00103987,0.00103987,0.00103987
21,2050.62,0.57258,0.31337,0.89079,1,1,0.995,0.81347,0.80148,0.36589,0.95575,0.00100687,0.00100687,0.00100687
22,2197.4,0.54963,0.30506,0.8778,0.99945,1,0.995,0.81431,0.77241,0.3569,0.95699,0.000973861,0.000973861,0.000973861
23,2394.94,0.52596,0.30269,0.8732,1,1,0.995,0.84459,0.69018,0.35922,0.92942,0.000940855,0.000940855,0.000940855
24,2568.93,0.52779,0.29589,0.87386,0.99892,0.99444,0.9945,0.8279,0.76606,0.39287,0.95302,0.000907848,0.000907848,0.000907848
25,2748.94,0.52276,0.30136,0.8748,1,1,0.995,0.84661,0.69946,0.33525,0.92681,0.000874842,0.000874842,0.000874842
26,2906.82,0.50453,0.28903,0.8641,0.99915,1,0.995,0.82068,0.72673,0.351,0.94397,0.000841835,0.000841835,0.000841835
27,3086.69,0.49554,0.27969,0.86816,0.99721,1,0.995,0.83716,0.72194,0.33631,0.92757,0.000808828,0.000808828,0.000808828
28,3267.82,0.49819,0.26932,0.84946,1,1,0.995,0.84242,0.6876,0.30196,0.91578,0.000775822,0.000775822,0.000775822
29,3426.51,0.4766,0.26857,0.85523,1,1,0.995,0.85001,0.68651,0.30272,0.91068,0.000742815,0.000742815,0.000742815
30,3583.85,0.48027,0.26085,0.84918,0.99881,1,0.995,0.81717,0.72558,0.33819,0.93936,0.000709809,0.000709809,0.000709809
31,3750.15,0.46283,0.26204,0.85261,1,1,0.995,0.85273,0.65526,0.28641,0.90655,0.000676802,0.000676802,0.000676802
32,3954.13,0.44312,0.25027,0.84143,1,1,0.995,0.84706,0.66555,0.29685,0.90779,0.000643795,0.000643795,0.000643795
33,4157.75,0.43935,0.2497,0.83189,0.99925,1,0.995,0.84686,0.7024,0.28498,0.91616,0.000610789,0.000610789,0.000610789
34,4388.48,0.43463,0.23965,0.83792,0.99849,1,0.995,0.85372,0.68729,0.29634,0.9149,0.000577782,0.000577782,0.000577782
