epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9008,2.77844,5.78744,2.79356,0.53346,0.5,0.1453,0.03394,2.91646,5.84533,2.79192,0.00018337,0.00018337,0.00018337
2,31.2922,1.80552,3.06401,1.91751,0.99248,0.5,0.50257,0.22317,1.91576,3.32093,1.6723,0.000345452,0.000345452,0.000345452
3,44.7221,1.50656,2.44863,1.57218,0.83973,0.45833,0.42435,0.14304,2.54782,3.40337,2.39627,0.000467927,0.000467927,0.000467927
4,59.2152,1.43078,2.06902,1.44926,0.57192,0.79167,0.64721,0.2935,1.55782,2.86874,1.60871,0.000550793,0.000550793,0.000550793
5,73.9892,1.35148,1.77531,1.42778,0.63591,0.78676,0.65204,0.28861,2.112,3.00513,2.04537,0.000594052,0.000594052,0.000594052
6,88.6653,1.28237,1.64382,1.35654,0.60344,0.83333,0.79674,0.40812,1.92091,2.11143,1.76599,0.000597703,0.000597703,0.000597703
7,103.657,1.20826,1.57918,1.28486,0.67977,0.7527,0.61499,0.36297,1.538,1.80958,1.50688,0.000561746,0.000561746,0.000561746
8,118.513,1.06935,1.41522,1.20458,0.70341,0.70833,0.58477,0.381,1.37616,1.61777,1.38103,0.000486181,0.000486181,0.000486181
9,133.916,1.08128,1.37309,1.2029,0.47403,0.55649,0.43531,0.26861,1.42512,1.46747,1.36333,0.000346736,0.000346736,0.000346736
10,150.883,1.01815,1.2878,1.15287,0.46933,0.5,0.32172,0.22053,1.15082,1.43502,1.24267,0.000181703,0.000181703,0.000181703
