filename,before,after
MRC_12_80710253.tif,0,0
MRC_12_80710264.tif,0,0
MRC_12_80710275.tif,0,0
MRC_12_80710286.tif,0,0
MRC_12_80710297.tif,0,0
MRC_12_80710308.tif,0,0
MRC_12_80710319.tif,0,0
MRC_12_80710330.tif,0,0
MRC_12_80710341.tif,0,0
MRC_12_80710352.tif,0,0
MRC_12_80710363.tif,0,0
MRC_12_80710374.tif,0,0
MRC_12_80710385.tif,0,0
MRC_12_80710396.tif,0,0
MRC_12_80710407.tif,0,0
MRC_12_80710418.tif,0,0
MRC_12_80710429.tif,0,0
MRC_12_80710440.tif,0,0
MRC_12_80710451.tif,0,0
MRC_12_80710462.tif,0,0
MRC_12_80710473.tif,0,0
MRC_12_80710484.tif,0,0
MRC_12_80710495.tif,0,0
MRC_12_80710506.tif,0,0
MRC_12_80710517.tif,0,0
MRC_12_80710528.tif,1,1
MRC_12_80710539.tif,1,1
MRC_12_80710550.tif,1,1
MRC_12_80710561.tif,1,1
MRC_12_80710572.tif,1,1
MRC_12_80710583.tif,1,1
MRC_12_80710594.tif,1,1
MRC_12_80710605.tif,1,1
MRC_12_80710616.tif,1,1
MRC_12_80710627.tif,1,1
MRC_12_80710638.tif,1,1
MRC_12_80710649.tif,1,1
MRC_12_80710660.tif,0,0
MRC_12_80710671.tif,0,0
MRC_12_80710682.tif,0,0
MRC_12_80710693.tif,0,0
MRC_12_80710704.tif,0,0
MRC_12_80710715.tif,0,0
MRC_12_80710726.tif,0,0
MRC_12_80710737.tif,0,0
MRC_12_80710748.tif,0,0
MRC_12_80710759.tif,0,0
MRC_12_80710770.tif,0,0
MRC_12_80710781.tif,0,0
MRC_12_80710792.tif,0,0
MRC_12_80710803.tif,0,0
MRC_12_80710814.tif,0,0
MRC_12_80710825.tif,0,0
MRC_12_80710836.tif,0,0
MRC_12_80710847.tif,0,0
MRC_12_80710858.tif,0,0
MRC_14_83085814.tif,0,0
MRC_14_83085825.tif,0,0
MRC_14_83085836(1).tif,0,0
MRC_14_83085836.tif,0,0
MRC_14_83085847.tif,0,0
MRC_14_83085858.tif,0,0
MRC_14_83085869.tif,0,0
MRC_14_83085880.tif,0,0
MRC_14_83085891.tif,0,0
MRC_14_83085902.tif,0,0
MRC_14_83085913.tif,0,0
MRC_14_83085924.tif,0,0
MRC_14_83085935.tif,0,0
MRC_14_83085946.tif,0,0
MRC_14_83085957(1).tif,0,0
MRC_14_83085957.tif,0,0
MRC_14_83085968(1).tif,0,0
MRC_14_83085968.tif,0,0
MRC_14_83085979.tif,0,0
MRC_14_83085990.tif,0,0
MRC_14_83086001.tif,0,0
MRC_14_83086012.tif,0,0
MRC_14_83086023.tif,0,0
MRC_14_83086034.tif,0,0
MRC_14_83086045(1).tif,0,0
MRC_14_83086045.tif,0,0
MRC_14_83086056.tif,0,0
MRC_14_83086067.tif,0,0
MRC_14_83086078(1).tif,0,0
MRC_14_83086078.tif,0,0
MRC_14_83086089.tif,0,0
MRC_14_83086100.tif,0,0
MRC_14_83086111.tif,0,0
MRC_14_83086122.tif,1,1
MRC_14_83086133.tif,1,1
MRC_14_83086144.tif,1,1
MRC_14_83086155.tif,1,1
MRC_14_83086166.tif,1,1
MRC_14_83086177.tif,1,1
MRC_14_83086188.tif,1,1
MRC_14_83086199.tif,1,1
MRC_14_83086210.tif,1,1
MRC_14_83086221.tif,1,1
MRC_14_83086232.tif,0,0
MRC_14_83086243.tif,0,0
MRC_14_83086254.tif,0,0
MRC_14_83086265.tif,0,0
MRC_14_83086276.tif,0,0
MRC_14_83086287(1).tif,0,0
MRC_14_83086287.tif,0,0
MRC_14_83086298.tif,0,0
MRC_14_83086309.tif,0,0
MRC_14_83086320.tif,0,0
MRC_14_83086331.tif,0,0
MRC_14_83086342.tif,0,0
MRC_14_83086353.tif,0,0
MRC_14_83086364.tif,0,0
MRC_14_83086375.tif,0,0
MRC_14_83086386.tif,0,0
MRC_14_83086397.tif,0,0
MRC_14_83086408.tif,0,0
MRC_14_83086419.tif,0,0
MRC_14_83086430.tif,0,0
MRC_14_83086441.tif,0,0
MRC_14_83086452.tif,0,0
MRC_14_83086463.tif,0,0
MRC_14_83086474.tif,0,0
MRC_14_83086485.tif,0,0
MRC_14_83086496(1).tif,0,0
MRC_14_83086496.tif,0,0
MRC_14_83086507.tif,0,0
MRC_15_83940321.tif,0,0
MRC_15_83940332.tif,0,0
MRC_15_83940343.tif,0,0
MRC_15_83940354.tif,0,0
MRC_15_83940365.tif,0,0
MRC_15_83940376.tif,0,0
MRC_15_83940387(1).tif,0,0
MRC_15_83940387.tif,0,0
MRC_15_83940398.tif,0,0
MRC_15_83940409.tif,0,0
MRC_15_83940420.tif,0,0
MRC_15_83940431.tif,0,0
MRC_15_83940442.tif,0,0
MRC_15_83940453.tif,0,0
MRC_15_83940464.tif,0,0
MRC_15_83940475.tif,0,0
MRC_15_83940486(1).tif,0,0
MRC_15_83940486.tif,0,0
MRC_15_83940497.tif,0,0
MRC_15_83940508.tif,1,1
MRC_15_83940519(1).tif,1,1
MRC_15_83940519.tif,1,1
MRC_15_83940530.tif,1,1
MRC_15_83940541(1).tif,1,1
MRC_15_83940541.tif,1,1
MRC_15_83940552.tif,1,1
MRC_15_83940563.tif,1,1
MRC_15_83940574.tif,1,1
MRC_15_83940585.tif,1,1
MRC_15_83940596(1).tif,1,1
MRC_15_83940596.tif,1,1
MRC_15_83940607.tif,1,1
MRC_15_83940618.tif,1,1
MRC_15_83940629.tif,1,1
MRC_15_83940640.tif,1,1
MRC_15_83940651.tif,0,0
MRC_15_83940662.tif,0,0
MRC_15_83940673.tif,0,0
MRC_15_83940684(1).tif,0,0
MRC_15_83940684.tif,0,0
MRC_15_83940695.tif,0,0
