epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.656,1.35682,1.92131,1.53552,0.99918,1,0.995,0.80027,0.89675,0.73587,1.0564,0.000549692,0.000549692,0.000549692
2,237.715,0.92053,0.6256,1.11444,0.97276,0.99331,0.99182,0.78694,0.851,0.78106,1.03441,0.00108347,0.00108347,0.00108347
3,356.894,0.82584,0.53017,1.05019,0.96251,0.9888,0.99497,0.61641,1.46639,0.78913,1.44449,0.00159525,0.00159525,0.00159525
4,480.152,0.85425,0.48031,1.07147,0.98778,0.99411,0.995,0.82156,0.81354,0.42439,0.99031,0.00156798,0.00156798,0.00156798
5,612.422,0.75519,0.43475,1.01854,0.99949,1,0.995,0.85714,0.6549,0.36313,0.91035,0.00153497,0.00153497,0.00153497
6,780.603,0.6788,0.39205,0.97961,0.99499,1,0.99497,0.868,0.63402,0.33481,0.90382,0.00150197,0.00150197,0.00150197
7,957.657,0.64966,0.37159,0.95788,1,1,0.995,0.83769,0.76534,0.34112,0.9621,0.00146896,0.00146896,0.00146896
8,1150.53,0.60583,0.33868,0.93376,1,1,0.995,0.80418,0.84079,0.3521,1.00427,0.00143595,0.00143595,0.00143595
9,1352.02,0.6566,0.35879,0.95082,1,1,0.995,0.86436,0.67885,0.34834,0.93019,0.00140295,0.00140295,0.00140295
10,1576.81,0.64421,0.34192,0.95125,0.99969,1,0.995,0.8386,0.70913,0.31215,0.94194,0.00136994,0.00136994,0.00136994
11,1800.08,0.5738,0.31881,0.93074,1,0.99662,0.995,0.86958,0.59799,0.29209,0.89994,0.00133693,0.00133693,0.00133693
12,2068.53,0.53536,0.30003,0.90239,1,1,0.995,0.86943,0.61277,0.31386,0.90711,0.00130393,0.00130393,0.00130393
13,2379.8,0.53476,0.29992,0.89782,0.99942,1,0.995,0.8744,0.64146,0.29244,0.9181,0.00127092,0.00127092,0.00127092
14,2701.09,0.51749,0.29304,0.89292,1,1,0.995,0.8574,0.66346,0.28591,0.92307,0.00123791,0.00123791,0.00123791
15,3019.64,0.48769,0.28366,0.88494,1,0.99662,0.995,0.87912,0.56328,0.26474,0.88604,0.00120491,0.00120491,0.00120491
16,3395.67,0.47891,0.26914,0.88058,1,1,0.995,0.82723,0.73986,0.3077,0.95228,0.0011719,0.0011719,0.0011719
17,3749.61,0.4835,0.27194,0.87805,1,1,0.995,0.90241,0.49483,0.24284,0.86755,0.00113889,0.00113889,0.00113889
18,4180.01,0.46065,0.26282,0.87481,1,1,0.995,0.86711,0.61481,0.27719,0.90798,0.00110589,0.00110589,0.00110589
19,4581.02,0.4726,0.26584,0.88357,1,1,0.995,0.85294,0.64952,0.27935,0.9226,0.00107288,0.00107288,0.00107288
20,5002.59,0.45103,0.25265,0.86486,1,1,0.995,0.87948,0.56275,0.24379,0.89094,0.00103987,0.00103987,0.00103987
21,5478.66,0.47525,0.25612,0.87861,1,0.99324,0.9937,0.89678,0.5182,0.2476,0.87559,0.00100687,0.00100687,0.00100687
22,5962.8,0.44712,0.25172,0.87396,1,0.99662,0.995,0.89264,0.52479,0.2431,0.87048,0.000973861,0.000973861,0.000973861
23,6483.75,0.42935,0.23992,0.86122,1,1,0.995,0.86225,0.62766,0.25287,0.90825,0.000940855,0.000940855,0.000940855
24,7017.16,0.4094,0.23154,0.85066,1,0.99324,0.9937,0.89995,0.49045,0.2249,0.86331,0.000907848,0.000907848,0.000907848
25,7579.76,0.42246,0.23911,0.85896,1,0.99662,0.995,0.90237,0.49775,0.22294,0.86086,0.000874842,0.000874842,0.000874842
26,8266,0.40036,0.22534,0.85183,1,1,0.995,0.88373,0.59514,0.2419,0.89665,0.000841835,0.000841835,0.000841835
27,8998.75,0.39352,0.22471,0.85255,1,0.99662,0.995,0.89312,0.52829,0.22397,0.86955,0.000808828,0.000808828,0.000808828
28,9754.25,0.39496,0.22265,0.84878,1,1,0.995,0.90774,0.48448,0.21452,0.85949,0.000775822,0.000775822,0.000775822
29,10519,0.37724,0.21573,0.84238,1,1,0.995,0.88277,0.56104,0.2325,0.89405,0.000742815,0.000742815,0.000742815
30,11298.2,0.39551,0.22498,0.84786,1,1,0.995,0.8978,0.52424,0.22786,0.86523,0.000709809,0.000709809,0.000709809
31,12145.3,0.37563,0.21448,0.84873,1,1,0.995,0.89392,0.52314,0.21922,0.87555,0.000676802,0.000676802,0.000676802
32,12915.6,0.3696,0.21112,0.84295,1,1,0.995,0.90693,0.49364,0.21486,0.86107,0.000643795,0.000643795,0.000643795
33,13523.1,0.35743,0.20092,0.83776,1,1,0.995,0.89682,0.50996,0.21108,0.8625,0.000610789,0.000610789,0.000610789
34,14257.3,0.35096,0.20273,0.83238,1,1,0.995,0.89955,0.49142,0.22247,0.85965,0.000577782,0.000577782,0.000577782
35,15013.6,0.35377,0.20438,0.83834,1,0.99324,0.9937,0.87829,0.56489,0.22788,0.88814,0.000544776,0.000544776,0.000544776
36,15816.3,0.34562,0.19378,0.82887,1,1,0.995,0.90795,0.49382,0.2057,0.86613,0.000511769,0.000511769,0.000511769
37,16732.4,0.34184,0.19147,0.83345,1,1,0.995,0.89613,0.53322,0.20914,0.87894,0.000478762,0.000478762,0.000478762
38,17517.6,0.33633,0.18744,0.82747,1,1,0.995,0.89056,0.53983,0.21046,0.88557,0.000445756,0.000445756,0.000445756
39,18391.4,0.32476,0.18432,0.82524,1,1,0.995,0.89887,0.50282,0.20417,0.86675,0.000412749,0.000412749,0.000412749
40,19317.5,0.32133,0.1806,0.82118,1,1,0.995,0.88617,0.5738,0.21256,0.8976,0.000379743,0.000379743,0.000379743
41,20253.1,0.31798,0.1768,0.82061,1,1,0.995,0.88614,0.5493,0.20615,0.88278,0.000346736,0.000346736,0.000346736
42,21322.9,0.32539,0.17833,0.82072,1,1,0.995,0.88886,0.52644,0.20753,0.88036,0.000313729,0.000313729,0.000313729
43,23234,0.30736,0.17543,0.82199,1,1,0.995,0.89226,0.52343,0.20226,0.87651,0.000280723,0.000280723,0.000280723
44,24540,0.29502,0.16792,0.81305,1,1,0.995,0.89722,0.52964,0.20323,0.87743,0.000247716,0.000247716,0.000247716
45,26184,0.28941,0.16583,0.81539,1,1,0.995,0.90027,0.50524,0.19525,0.86867,0.00021471,0.00021471,0.00021471
46,27944.2,0.28566,0.16303,0.81607,1,1,0.995,0.89932,0.50357,0.19647,0.86964,0.000181703,0.000181703,0.000181703
47,30748.1,0.27975,0.16079,0.81518,1,1,0.995,0.89352,0.51062,0.19703,0.8717,0.000148696,0.000148696,0.000148696
48,35035,0.27492,0.15887,0.80459,1,1,0.995,0.89889,0.51689,0.19602,0.87476,0.00011569,0.00011569,0.00011569
49,38029.4,0.27414,0.15689,0.80706,1,1,0.995,0.9019,0.50876,0.19044,0.87164,8.26832e-05,8.26832e-05,8.26832e-05
50,42623.2,0.26372,0.15337,0.81002,1,1,0.995,0.89964,0.50768,0.19016,0.87047,4.96766e-05,4.96766e-05,4.96766e-05
