epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.2375,1.77981,2.8584,1.75183,0.8477,0.90362,0.94328,0.60962,1.32118,2.45089,1.29053,0.000544981,0.000544981,0.000544981
2,118.285,1.08295,0.90783,1.14748,0.96127,0.95135,0.9883,0.70406,1.10734,1.98517,1.14948,0.00107885,0.00107885,0.00107885
3,172.58,0.98446,0.72278,1.08678,0.88848,0.89896,0.94904,0.63292,1.36236,1.07728,1.23522,0.00159072,0.00159072,0.00159072
4,236.291,1.00322,0.62626,1.08523,0.4946,0.45248,0.40548,0.1445,2.42056,3.00269,2.71649,0.00156798,0.00156798,0.00156798
5,300.032,0.92907,0.5619,1.05372,0.85472,0.73618,0.86848,0.64849,1.03388,1.06802,1.10801,0.00153497,0.00153497,0.00153497
6,367.912,0.85684,0.5023,1.02264,0.92429,0.88826,0.94658,0.65658,1.23415,0.77321,1.20675,0.00150197,0.00150197,0.00150197
7,438.89,0.80564,0.4677,0.99062,0.98981,0.99679,0.995,0.79865,0.81618,0.47747,0.99588,0.00146896,0.00146896,0.00146896
8,511.532,0.78527,0.45881,0.9842,0.99612,1,0.995,0.77809,0.9356,0.46887,1.00259,0.00143595,0.00143595,0.00143595
9,601.966,0.77598,0.43987,0.9712,0.99444,0.98889,0.99373,0.78738,0.90289,0.46968,1.01033,0.00140295,0.00140295,0.00140295
10,699.373,0.70113,0.39501,0.93499,0.98989,1,0.995,0.77262,0.85475,0.49768,1.00234,0.00136994,0.00136994,0.00136994
11,795.75,0.7028,0.38922,0.93459,0.99918,0.99976,0.995,0.79804,0.86949,0.41865,0.98404,0.00133693,0.00133693,0.00133693
12,898.895,0.68678,0.38152,0.93958,0.9879,1,0.98536,0.79356,0.83586,0.42973,0.98733,0.00130393,0.00130393,0.00130393
13,1006.37,0.69478,0.38134,0.93703,0.99953,1,0.995,0.81196,0.82156,0.39019,0.96512,0.00127092,0.00127092,0.00127092
14,1110.38,0.64026,0.35941,0.91627,0.98876,0.97222,0.98377,0.78151,0.83984,0.48378,0.98224,0.00123791,0.00123791,0.00123791
15,1212.26,0.61417,0.34597,0.90483,0.98357,0.99444,0.99406,0.80447,0.80111,0.40449,0.96382,0.00120491,0.00120491,0.00120491
16,1326.36,0.62609,0.34137,0.90427,0.99451,0.99898,0.995,0.81319,0.78881,0.37884,0.95266,0.0011719,0.0011719,0.0011719
17,1442.94,0.5982,0.32895,0.90058,0.99309,1,0.995,0.83993,0.67035,0.35028,0.92548,0.00113889,0.00113889,0.00113889
18,1583.87,0.55058,0.31216,0.88485,1,0.96667,0.983,0.79163,0.85995,0.39633,1.00004,0.00110589,0.00110589,0.00110589
